algoritmo,n,t,d,m,tiempo_us,memoria_kb
naive,16,diagonal,D10,b,22,2520
strassen,16,diagonal,D10,b,12,2520
naive,16,diagonal,D10,c,32,2520
strassen,16,diagonal,D10,c,29,2520
naive,16,dispersa,D0,a,24,2520
strassen,16,dispersa,D0,a,28,2520
naive,16,dispersa,D0,b,36,2520
strassen,16,dispersa,D0,b,20,2520
naive,16,dispersa,D0,c,25,2520
strassen,16,dispersa,D0,c,53,2520
naive,16,dispersa,D10,a,40,2520
strassen,16,dispersa,D10,a,33,2520
naive,16,dispersa,D10,b,4,2520
strassen,16,dispersa,D10,b,87,2520
naive,16,dispersa,D10,c,18,2520
strassen,16,dispersa,D10,c,159,2520
naive,256,densa,D0,a,5097,4232
strassen,256,densa,D0,a,15251,5812
naive,256,densa,D0,b,3638,4320
strassen,256,densa,D0,b,16821,5900
naive,256,densa,D0,c,4764,4240
strassen,256,densa,D0,c,16875,5820
naive,256,densa,D10,a,5043,4136
strassen,256,densa,D10,a,22160,5716
naive,256,densa,D10,b,4694,4280
strassen,256,densa,D10,b,14093,5860
naive,256,densa,D10,c,4911,4236
strassen,256,densa,D10,c,15006,5816
naive,256,diagonal,D0,a,6657,4108
strassen,256,diagonal,D0,a,10521,5688
naive,256,diagonal,D0,b,5537,4108
strassen,256,diagonal,D0,b,18679,5688
naive,256,diagonal,D0,c,3338,4268
strassen,256,diagonal,D0,c,17482,5848
naive,256,diagonal,D10,a,4728,4204
strassen,256,diagonal,D10,a,22382,5784
naive,256,diagonal,D10,b,4973,4160
strassen,256,diagonal,D10,b,15111,5740
naive,256,diagonal,D10,c,4108,4160
strassen,256,diagonal,D10,c,11197,5740
naive,256,dispersa,D0,a,3736,4148
strassen,256,dispersa,D0,a,19726,5728
naive,256,dispersa,D0,b,3221,4124
strassen,256,dispersa,D0,b,15506,5704
naive,256,dispersa,D0,c,4853,4208
strassen,256,dispersa,D0,c,26589,5788
naive,256,dispersa,D10,a,3331,4264
strassen,256,dispersa,D10,a,10939,5844
naive,256,dispersa,D10,b,4673,4320
strassen,256,dispersa,D10,b,15068,5900
naive,256,dispersa,D10,c,4718,4160
strassen,256,dispersa,D10,c,16663,5740
naive,64,densa,D0,a,58,2520
strassen,64,densa,D0,a,163,3516
naive,64,densa,D0,b,75,2520
strassen,64,densa,D0,b,408,3748
naive,64,densa,D0,c,99,2520
strassen,64,densa,D0,c,341,3752
naive,64,densa,D10,a,104,2520
strassen,64,densa,D10,a,371,3660
naive,64,densa,D10,b,61,2520
strassen,64,densa,D10,b,361,3532
naive,64,densa,D10,c,146,2520
strassen,64,densa,D10,c,173,3660
naive,64,diagonal,D0,a,171,2520
strassen,64,diagonal,D0,a,359,3568
naive,64,diagonal,D0,b,130,2520
strassen,64,diagonal,D0,b,444,2520
naive,64,diagonal,D0,c,109,2520
strassen,64,diagonal,D0,c,296,3568
naive,64,diagonal,D10,a,63,2520
strassen,64,diagonal,D10,a,184,2520
naive,64,diagonal,D10,b,81,2520
strassen,64,diagonal,D10,b,193,3752
naive,64,diagonal,D10,c,120,2520
strassen,64,diagonal,D10,c,167,3536
naive,64,dispersa,D0,a,178,2520
strassen,64,dispersa,D0,a,362,3696
naive,64,dispersa,D0,b,116,2520
strassen,64,dispersa,D0,b,422,3752
naive,64,dispersa,D0,c,53,2520
strassen,64,dispersa,D0,c,317,3656
naive,64,dispersa,D10,a,119,2520
strassen,64,dispersa,D10,a,365,3572
naive,64,dispersa,D10,b,127,2520
strassen,64,dispersa,D10,b,353,3620
naive,64,dispersa,D10,c,67,2520
strassen,64,dispersa,D10,c,304,3644
naive,1024,densa,D0,a,421074,15856
strassen,1024,densa,D0,a,834784,39936
naive,1024,densa,D0,b,394470,15960
strassen,1024,densa,D0,b,824930,39980
naive,1024,densa,D0,c,507663,15852
strassen,1024,densa,D0,c,881804,39932
naive,1024,densa,D10,a,529905,15832
strassen,1024,densa,D10,a,809988,39852
naive,1024,densa,D10,b,387859,15784
strassen,1024,densa,D10,b,906462,39804
naive,1024,densa,D10,c,-1513275,15992
strassen,1024,densa,D10,c,824191,40012
naive,1024,diagonal,D0,a,431264,15872
strassen,1024,diagonal,D0,a,852972,39892
naive,1024,diagonal,D0,b,393461,15920
strassen,1024,diagonal,D0,b,834249,39940
naive,1024,diagonal,D0,c,371252,15860
strassen,1024,diagonal,D0,c,805939,39940
naive,1024,diagonal,D10,a,368152,15812
strassen,1024,diagonal,D10,a,808808,39832
naive,1024,diagonal,D10,b,400558,15920
strassen,1024,diagonal,D10,b,813666,39940
naive,1024,diagonal,D10,c,383262,15784
strassen,1024,diagonal,D10,c,793972,39804
naive,1024,dispersa,D0,a,400618,15828
strassen,1024,dispersa,D0,a,801971,39848
naive,1024,dispersa,D0,b,412217,15832
strassen,1024,dispersa,D0,b,837883,39852
naive,1024,dispersa,D0,c,414500,15964
strassen,1024,dispersa,D0,c,826180,39984
naive,1024,dispersa,D10,a,418255,15816
strassen,1024,dispersa,D10,a,825904,39836
naive,1024,dispersa,D10,b,390787,15880
strassen,1024,dispersa,D10,b,840784,39900
naive,1024,dispersa,D10,c,382135,15876
strassen,1024,dispersa,D10,c,843560,39896
naive,16,densa,D0,a,37,2568
strassen,16,densa,D0,a,20,2568
naive,16,densa,D0,b,7,2568
strassen,16,densa,D0,b,20,2568
naive,16,densa,D0,c,9,2568
strassen,16,densa,D0,c,24,2568
naive,16,densa,D10,a,10,2568
strassen,16,densa,D10,a,20,2568
naive,16,densa,D10,b,9,2568
strassen,16,densa,D10,b,25,2568
naive,16,densa,D10,c,8,2568
strassen,16,densa,D10,c,16,2568
naive,16,diagonal,D0,a,7,2568
strassen,16,diagonal,D0,a,22,2568
naive,16,diagonal,D0,b,7,2568
strassen,16,diagonal,D0,b,22,2568
naive,16,diagonal,D0,c,7,2568
